temp,time_delay
69.920000,1.87618e-11
70.080000,1.87628e-11
70.240000,1.87639e-11
70.400000,1.87649e-11
70.560000,1.87660e-11
70.720000,1.87670e-11
70.880000,1.87681e-11
71.040000,1.87691e-11
71.200000,1.87702e-11
71.360000,1.87712e-11
71.520000,1.87722e-11
71.680000,1.87733e-11
71.840000,1.87743e-11
72.000000,1.87753e-11
72.160000,1.87764e-11
72.320000,1.87774e-11
72.480000,1.87784e-11
72.640000,1.87795e-11
72.800000,1.87805e-11
72.960000,1.87815e-11
73.120000,1.87825e-11
73.280000,1.87835e-11
73.440000,1.87846e-11
73.600000,1.87856e-11
73.760000,1.87866e-11
73.920000,1.87876e-11
74.080000,1.87886e-11
74.240000,1.87896e-11
74.400000,1.87906e-11
74.560000,1.87916e-11
74.720000,1.87926e-11
74.880000,1.87936e-11
75.040000,1.87946e-11
75.200000,1.87956e-11
75.360000,1.87966e-11
75.520000,1.87976e-11
75.680000,1.87986e-11
75.840000,1.87996e-11
76.000000,1.88006e-11
76.160000,1.88016e-11
76.320000,1.88025e-11
76.480000,1.88035e-11
76.640000,1.88045e-11
76.800000,1.88055e-11
76.960000,1.88065e-11
77.120000,1.88074e-11
77.280000,1.88084e-11
77.440000,1.88094e-11
77.600000,1.88104e-11
77.760000,1.88113e-11
77.920000,1.88123e-11
78.080000,1.88133e-11
78.240000,1.88142e-11
78.400000,1.88152e-11
78.560000,1.88161e-11
78.720000,1.88171e-11
78.880000,1.88180e-11
79.040000,1.88190e-11
79.200000,1.88200e-11
79.360000,1.88209e-11
79.520000,1.88219e-11
79.680000,1.88228e-11
79.840000,1.88237e-11
80.000000,1.88247e-11
